Sr_st_Psve,5455,839
Ex_he_Pkir,3834,559
Am_tu_Hs02,838,2020
Sr_ci_Lx06,281,1164
Sr_ci_Lx05,179,1268
Am_tu_Hs01,1742,2298
Sr_ci_Lx03,819,527
Sr_st_Caro,3374,506
Ex_ja_Agod,3247,371
Sr_ap_Labb,1729,75
EE_cr_Gspa,5129,419
Sr_st_Bpac,4608,341
EE_cr_Gspb,4170,605
Am_tu_Vesp,4177,806
Pl_rh_Rmac,3473,456
EE_ap_Ftro,3375,2048
Am_di_Dalg,2564,299
Am_is_Vant,4455,897
Sr_pe_Pche,1680,7
Sr_di_Cfus,5700,1270
Pl_rh_Goki,256,18
Sr_ci_No01,260,1976
Am_tu_HepA,3417,839
Am_tu_HepB,3725,1047
Sr_ci_Sras,2566,159
Am_di_Naes,4380,575
Sr_ci_Hx20,2641,595
Sr_ci_Hx26,1184,97
Sr_ci_ME01,2967,2828
Am_di_Plev,3178,893
Am_tu_Nosp,3465,530
Sr_st_Pela,1774,1012
Sr_di_Kven,1763,219
EE_ce_Acsp,3983,564
Sr_di_Lpol,439,49
Sr_st_Pfar,1509,79
Am_ar_Mbal,1235,177
Sr_ci_Padh,3906,327
Am_tu_Hp01,3703,2241
Am_tu_Hp03,4584,1596
Am_tu_Hp02,2738,2171
Am_tu_Hp04,4195,2303
Am_tu_Hp07,3629,577
Am_tu_Hp06,3887,637
Am_tu_Hp09,3942,713
EE_cr_Hand,5100,1677
Sr_ci_Pdig,1065,386
Sr_ci_SP01,482,955
Sr_rh_Mmac,4791,394
Sr_ci_Sv04,2627,164
Sr_ci_Sv05,1822,85
Sr_ci_Sv06,3167,186
Sr_ci_Sv01,1660,115
Sr_ci_Sv02,2904,146
Sr_ci_Sv03,2729,169
Sr_ci_Sspe,3305,293
EE_ha_Clep,4850,408
Pl_gr_Psal,2901,626
Sr_ci_CR04,486,1466
Sr_ci_CR05,664,889
Sr_ci_CR06,609,618
Sr_ci_CR07,214,138
Sr_ci_CR08,211,12
Sr_ci_Sspp,2345,84
Sr_st_Cmar,3371,2321
Sr_di_Stro,5480,1189
Sr_ci_Dn01,3365,265
Am_tu_He07,2100,1487
Sr_st_Fser,506,53
Sr_st_Cfra,3733,327
Sr_ci_SmK4,4209,2569
Sr_ci_SmK2,3810,472
Sr_ci_SmK3,3783,1937
Sr_ci_Cu09,525,2279
Sr_ci_SmK1,2733,584
Sr_ci_Cu07,287,2406
Sr_ci_Cu06,745,2111
Sr_ci_Cu05,858,1649
Sr_ci_Cu04,328,2761
Sr_ci_Cu03,2462,2186
Sr_ci_Cu02,756,2440
Sr_ci_Cu01,1358,3418
Sr_ci_Lx36,1189,81
Sr_ci_Lx37,1476,202
Sr_ci_Ba02,1718,682
Sr_ci_Ba03,1902,123
Sr_ci_Ba04,1559,387
Sr_ci_Ba05,1781,144
EE_is_Tmar,3401,784
Ex_eu_Elon,395,44
Sr_ci_Lx38,844,93
Sr_ci_Lx39,540,74
Am_tu_Ps02,1185,1011
Sr_ci_Spol,3409,329
Pl_rh_Eden,397,45
Sr_rh_Cd01,78,11
Ex_ja_Haro,529,38
Pl_gr_Ntab,6075,1504
Sr_rh_Mf01,5785,1692
Sr_rh_Mf02,2749,295
Sr_rh_Mf03,2957,347
Am_ar_Meil,3908,913
Sr_ci_Hgra,2217,122
Sr_ci_Efoc,2609,101
Sr_ci_Cu14,1748,1758
Sr_rh_Sspa,5231,861
Sr_di_Aost,700,94
Sr_ci_Cu15,891,1532
Sr_di_Kmik,5556,1071
Am_tu_Ls05,2133,1794
Sr_ci_Spsp,3294,304
Am_is_Misp,2568,895
Sr_di_Kmic,1407,139
Am_tu_Ls02,2507,434
Sr_st_Al01,73,18
Am_tu_Hp86,4145,958
Pl_gl_Gnos,850,127
Sr_rh_Ph02,1004,127
Sr_ci_Lx43,76,114
Am_di_Vexi,3611,488
Pl_rh_Ccoe,2653,294
Sr_st_Cneb,3832,291
Pl_rh_Pyez,1120,148
Sr_ci_Ehar,2648,97
Sr_ci_Lv01,796,319
Sr_st_Poli,623,3
Am_tu_He04,2805,1450
Sr_di_Amin,1268,107
Sr_st_Bspa,4102,247
Am_tu_He01,2538,2230
Am_tu_He02,2340,1797
Op_me_Srap,401,26
Am_tu_Dbry,3262,477
Sr_ci_Sm01,2240,613
Sr_st_Alim,3901,388
Sr_ci_SC01,947,24
Sr_ci_SC02,1335,144
Sr_st_Wlun,3861,2127
Sr_rh_NopA,1238,2787
Pl_gr_Csti,4357,857
Sr_rh_Lvor,5219,1341
Sr_ci_SsK1,2510,500
Sr_ci_Lx04,934,1858
Sr_rh_As05,3133,387
Sr_rh_As04,1883,145
Sr_ci_SaK1,3376,385
Sr_rh_As01,2819,301
Sr_di_Pgla,4967,857
Sr_rh_As02,2975,297
Sr_rh_Bmot,3154,2169
Am_di_Tric,3863,608
Sr_ci_TR03,1867,1463
Am_va_Clsp,4466,634
Sr_rh_Ts02,3269,1800
Sr_rh_Ts01,2481,634
Sr_di_Pret,5176,1065
Am_tu_Qs01,3421,587
Am_tu_Qs03,3627,961
EE_cr_Psul,4645,378
Sr_ci_Ls01,745,95
Sr_ci_Ls02,267,112
Sr_ci_Rx04,1242,2144
Op_me_Ppil,3081,232
Ex_ox_Mono,2663,1036
Sr_ci_Fehr,2570,84
Sr_rh_Gspa,4387,599
Am_my_Crec,4905,834
Am_my_Ppal,4145,120
Sr_rh_Pina,3433,444
Sr_rh_Eu06,2076,1226
Sr_rh_Eu05,1317,711
Am_di_Prug,904,2513
Sr_rh_Eu03,548,1902
Sr_rh_Eu02,4710,1276
Sr_ci_Cu36,1435,1995
Sr_st_Fcyl,2039,65
Am_is_Eexu,3769,539
Sr_ci_Dm02,3472,1319
Sr_st_Psub,4178,262
Sr_ci_Dm01,3484,992
Sr_st_Cspb,3748,286
Sr_st_Dfra,3948,101
Sr_rh_Gcom,96,6
Sr_rh_Pl01,2526,700
EE_ce_Rhet,4396,625
Ex_ma_Mjak,1409,130
Op_fu_Aloc,287,27
Sr_st_Pban,4482,440
Sr_rh_Nsph,4580,581
Pl_gr_Tchu,4740,906
Sr_ci_Rx10,291,57
Sr_ci_Lpic,3151,200
Sr_ci_StK3,3507,1928
Sr_rh_As03,3139,340
Sr_ci_StK1,2741,660
Am_tu_NspA,4155,817
Sr_st_Dele,4817,3143
Sr_di_Atam,1062,139
Pl_gr_Tstr,5312,1123
Sr_st_Aspb,3408,421
Sr_ci_Po01,581,956
Sr_st_Mpol,4350,291
EE_ha_Goce,4870,161
Sr_ci_Lx07,1679,1740
Sr_di_Harc,4442,698
Op_me_Pglo,97,1
Sr_rh_Emar,3912,497
Sr_ci_TR02,688,213
EE_ha_Ispa,4541,125
Sr_di_Gspi,4146,635
Am_tu_Nf01,4077,1332
Sr_di_Paci,5191,965
Am_tu_Nf03,3681,825
Ex_eu_Ndes,3720,305
Ex_fo_Svor,553,64
Pl_gr_Pobo,4981,1017
Sr_di_Hsps,3996,442
Pl_rh_Hpul,3097,294
Sr_ci_SO01,88,102
Sr_st_Cspc,3914,313
Sr_st_Cspa,4212,417
Sr_rh_Gs01,263,106
Sr_ci_Arsp,2591,164
Am_tu_He48,4641,1364
Am_tu_He49,2015,1154
Am_ar_Mabd,3339,2701
Sr_ci_Ahae,672,8
Am_tu_He40,1562,658
Am_tu_He41,3124,1058
Am_tu_He42,3342,664
Am_tu_He43,861,1039
Am_tu_He44,3245,1008
Am_tu_He45,3932,815
Am_tu_He46,750,306
Am_tu_He47,4038,2822
Pl_gr_Aalb,511,85
Pl_gr_Dsal,1082,202
Am_tu_Qs02,3515,732
Am_di_Paes,4423,574
Sr_st_Cwai,4651,284
Sr_st_Dbri,4629,420
Am_di_Pboh,691,455
Sr_st_Trot,5427,479
Sr_ci_Sinc,2486,93
Pl_gr_Pcap,3680,758
Sr_st_Dspe,4946,434
Sr_ci_VO01,1211,129
Am_di_Mcan,2539,414
Ex_he_Smar,916,132
Sr_st_Dspa,3906,360
Pl_gr_Mspa,3923,688
Sr_rh_Spsu,6330,1248
Sr_ci_Stec,5110,1989
Sr_ci_Ls03,800,569
Am_my_Tacu,1304,778
Sr_rh_Pmar,362,15
Sr_st_Scon,3193,147
Am_is_Fcit,3779,554
Am_ar_Rlib,3212,1161
Ex_eu_Egym,4001,689
EE_ce_Chsp,5047,1079
Am_di_Vrob,4036,569
Pl_gr_Aace,174,37
EE_ha_Saps,5252,583
Am_my_Ddac,457,30
Ex_ja_Jlib,835,69
Pl_rh_Toli,2796,303
Sr_ci_Dn02,3095,274
Sr_rh_AspA,3777,522
Am_my_Sirr,4589,766
Sr_ci_Hx16,1168,115
Sr_st_Tfra,4363,305
Pl_gr_Npyr,5384,1805
Sr_ci_Hx13,965,741
Sr_pe_Olen,3130,35
Am_di_Lhul,4273,691
Ex_ja_Jbah,875,58
Sr_st_Lpar,4007,198
Am_di_Cpen,1923,190
Am_di_Endo,3674,863
Am_di_Sreg,5148,844
Am_tu_Ns08,3474,786
Am_tu_Ns09,4327,2664
Am_tu_Ns04,3905,855
Am_tu_Ns05,4016,1177
Am_tu_Ns06,4059,967
Sr_rh_Pl02,2117,898
EE_is_Hkuk,2647,337
Am_tu_Ns03,3538,1173
Sr_rh_Cp01,25,75
Sr_st_Acof,2762,195
Am_tu_Hp30,3713,593
Am_tu_Hp31,3940,721
Am_tu_Hp32,3064,492
Am_tu_Hr02,3177,4273
Am_di_Pess,3607,441
EE_ha_Pspa,3472,303
Pl_rh_Phai,580,40
Am_di_Lisp,3868,606
Sr_st_Csub,5110,517
Sr_ci_Sx06,3359,1256
Sr_ci_Sx05,332,377
Sr_rh_CipA,850,1225
Sr_ci_Sr01,2539,1329
Op_me_Emue,623,34
Sr_st_Mspa,4672,427
Sr_ci_Lx65,650,501
Sr_ci_Pspe,2457,67
Sr_ci_Evan,3064,314
Op_me_Cfol,512,47
Pl_gr_Pspf,3274,606
Pl_gr_Pspg,4423,736
Pl_gr_Pspd,3007,555
Pl_gr_Pcol,3720,765
Sr_st_Cneo,580,11
Am_th_Tqua,4358,703
Sr_di_Gaus,4792,922
Sr_rh_Aphi,1766,142
Pl_gr_Prap,3220,597
Sr_ci_Lx24,1359,1336
Am_is_Fnol,4282,696
Sr_ci_Lx20,806,169
Op_ic_Apar,401,19
Ex_he_Pcos,3107,269
Pl_gl_Cpad,1802,250
Sr_ci_AN01,1521,2213
Sr_ap_Gnip,460,116
Sr_st_Ptar,4492,862
Am_tu_Apro,3954,718
Sr_ci_Lx66,716,230
Sr_ci_SuK2,3563,410
Sr_ci_SuK3,3762,879
Sr_ci_SuK1,3671,474
Am_di_Cusp,2710,894
Sr_di_Htri,300,38
Am_my_Pfun,4379,547
Am_tu_Crsp,4384,847
Op_me_Avir,2231,621
Am_my_Spse,435,999
Sr_di_Gcat,5820,1186
Sr_di_Plim,5378,1103
Am_tu_He13,1731,1061
Am_tu_He12,3088,832
Am_tu_He17,2063,378
Am_tu_He16,3634,648
Am_tu_He15,1552,441
Am_tu_He14,3484,646
Am_tu_He19,3651,699
Am_tu_He18,1185,479
Am_tu_Hp90,4029,823
Sr_rh_Cg01,56,193
Pl_rh_Kalv,106,10
Sr_ci_KE02,1155,2115
Sr_ci_KE01,733,990
Sr_st_Goce,4117,277
Am_tu_Cpro,4334,709
Sr_ci_Bt03,3356,121
Sr_ci_Bt02,3460,139
EE_ha_Ppar,5164,450
Ex_eu_Egra,1983,328
EE_ha_Cbre,5020,554
Sr_rh_ArpA,2438,1923
Sr_st_Pspl,3981,29
Am_my_Cfur,4309,445
EE_cr_Cpar,4700,441
EE_cr_Ccur,4386,364
Am_di_Patl,4269,578
Am_di_Mspa,3815,447
Am_tu_Hp76,4195,825
Am_tu_Hp77,3466,718
Am_tu_Hp78,4007,902
Am_tu_Hp79,4110,893
Pl_gr_Pspa,3193,677
Sr_st_Pmul,330,13
Sr_di_Aspp,1749,229
Am_tu_Nc01,4140,973
Am_tu_Nc02,2675,1058
Ex_pa_Phom,491,200
Sr_st_Cten,3598,140
Pl_gl_Gwit,5259,1131
Sr_ci_LI01,2718,1470
Op_me_Hech,772,458
Pl_rh_Rmar,3428,422
Sr_ci_Cu24,1032,1018
Sr_ci_Cu21,571,539
Sr_rh_RspA,3560,488
Sr_st_Ldig,226,8
Am_tu_He53,1187,1234
Sr_ci_Cu28,320,1134
Sr_ci_Lx51,837,351
Am_tu_Ls04,2454,1153
Sr_ci_StK4,4062,1079
Sr_rh_Cerc,3319,284
Am_tu_Ls03,911,905
Sr_ci_FR01,1191,497
Am_tu_Ls01,3975,819
Am_tu_He50,4226,1326
Sr_ci_StK2,3203,1288
Sr_ci_Rx03,795,2388
Sr_ci_Rx02,478,1144
Sr_ci_Rx05,686,347
Op_me_Cmey,56,1
Sr_ci_Rx07,311,68
Sr_ci_Rx06,402,122
Sr_ci_Rx09,402,49
Sr_ci_Rx08,162,239
EE_ap_Nlon,4078,777
Pl_gr_Omed,3012,593
Sr_di_Amas,4994,933
Ex_ma_Goke,4391,916
Am_tu_Vver,4156,803
Op_me_Lbai,461,17
Op_me_Olob,407,111
Sr_rh_Cy01,1847,1441
Sr_st_Schi,537,38
Pl_rh_Lden,477,33
Sr_st_Pcal,4061,215
Pl_rh_Gten,750,56
Sr_st_Alag,3922,281
Sr_rh_Qs01,551,222
EE_cr_Gcry,5469,452
EE_ha_Crot,5173,547
Sr_di_Pmin,4911,929
Sr_st_Paus,4009,180
Sr_di_Plun,47,1
Sr_ci_Pssp,2493,85
Sr_ci_Ga01,1298,1406
Sr_ci_CA01,198,15
